CodeINSEE,Code postal,fra,bre
22274,22630,Saint-André-des-Eaux,Sant-Andrev-an-Dour
22275,22600,Saint-Barnabé,Sant-Barnev
22276,22800,Saint-Bihy,Sant-Bic'hi
22277,22800,Saint-Brandan,Sant-Vedan
22278,22000,Saint-Brieuc,Sant-Brieg
22279,22600,Saint-Caradec,Sant-Karadeg
22280,22100,Saint-Carné,Sant-Karneg
22281,22150,Saint-Carreuc,Sant-Kareg
22282,22380,Saint-Cast-le-Guildo,Sant-Kast-ar-Gwildoù
22283,22260,Saint-Clet,Sant-Kleve
22284,22480,Saint-Connan,Sant-Konan
22285,22530,Saint-Connec,Sant-Koneg
22286,22400,Saint-Denoual,Sant-Denwal
22287,22800,Saint-Donan,Sant-Donan
22288,22210,Saint-Etienne-du-Gué-de-l'Isle,Sant-Stefan-ar-Roudouz
22289,22720,Saint-Fiacre,Sant-Fieg
22291,22800,Saint-Gildas,Sant-Weltaz
22293,22290,Saint-Gilles-les-Bois,Sant-Jili-ar-C'hoad
22294,22480,Saint-Gilles-Pligeaux,Sant-Jili-Plijo
22295,22530,Saint-Gilles-Vieux-Marché,Sant-Jili-ar-C'hozhvarc'had
22296,22510,Saint-Glen,Sant-Glenn
22299,22100,Saint-Hélen,Sant-Haelen
22300,22460,Saint-Hervé,Sant-Herve
22302,22750,Saint-Jacut-de-la-Mer,Sant-Yagu-an-Enez
22304,22170,Saint-Jean-Kerdaniel,Sant-Yann-Gerdaniel
22305,22350,Saint-Jouan-de-l'Isle,Sant-Yowan-an-Enez
22306,22630,Saint-Judoce,Sant-Yuzeg
22307,22940,Saint-Julien,Sant-Juluan-Pentevr
22308,22630,Saint-Juvat,Sant-Yuvad
22309,22230,Saint-Launeuc,Sant-Laoueneg
22310,22140,Saint-Laurent,Sant-Laorañs
22311,22130,Saint-Lormel,Sant-Loheñvel
22312,22350,Saint-Maden,Sant-Maden
22313,22320,Saint-Martin-des-Prés,Sant-Varzhin-Korle
22314,22600,Saint-Maudan,Sant-Maodan
22315,22980,Saint-Maudez,Sant-Maodez
22316,22320,Saint-Mayeux,Sant-Vaeg
22317,22980,Saint-Méloir-des-Bois,Sant-Melar-ar-C'hoad
22318,22980,Saint-Michel-de-Plélan,Sant-Mikael-Plelann
22319,22300,Saint-Michel-en-Grève,Lokmikael-an-Traezh
22320,22160,Saint-Nicodème,Sant-Nigouden
22321,22480,Saint-Nicolas-du-Pélem,Sant-Nikolaz-ar-Pelem
22322,22720,Saint-Péver,Sant-Pever
22323,22550,Saint-Pôtan,Sant-Postan
22324,22700,Saint-Quay-Perros,Sant-Ke-Perroz
22325,22410,Saint-Quay-Portrieux,Sant-Ke-Porzh-Olued
22326,22270,Saint-Rieul,Sant-Rieg
22327,22100,Saint-Samson-sur-Rance,Sant-Samzun
22328,22160,Saint-Servais,Sant-Servez-Kallag
22330,22460,Saint-Thélo,Sant-Teliav
22331,22480,Sainte-Tréphine,Sant-Trifin
22332,22510,Saint-Trimoël,Sant-Rivoued
22333,22230,Saint-Vran,Sant-Vran
22334,22570,Saint-Igeaux,Sant-Ijo
22335,22720,Senven-Léhart,Senven-Lehard
22337,22250,Sévignac,Sevinieg
22338,22200,Squiffiec,Skiñvieg
22339,22100,Taden,Taden
22340,22140,Tonquédec,Tonkedeg
22341,22640,Tramain,Tremaen
22342,22980,Trébédan,Trebêran
22343,22560,Trébeurden,Trebeurden
22344,22340,Trébrivan,Trabrivan
22345,22510,Trébry,Trebrid
